id,粵語,詞彙類別,粵語拼音,聲調,標準漢語1,標準漢語2,備註
16022,崩口人忌崩口碗,其他,bang hau jan gei bang hau wun,崩1口2人4忌6崩1口2碗2,當矮子別說短話,,
16023,捉到鹿唔識脫角,其他,zuk dou luk m1 sik tyut gok,捉3到2鹿2唔4識7脫3角8,拿燒餅當枕頭,得物無所用,
16024,偷雞唔到蝕米,其他,tau gai m` dou sit zaa mai,偷11唔4到2蝕96米5,偷不丟把米,偷雞不成蝕把米,
16025,多隻香爐多隻鬼,其他,do zek hoeng lou do zek gwai,多1隻8香1爐4多1隻8鬼2,多一個香爐多一位神道,,
16026,做慣乞兒懶做官,其他,zou gwaan hat ji laan zou gun,做6慣3乞7兒4懶5做6官1,討飯三年懶做官,安於本份,
16027,顧得頭腳反筋,其他,gu dak tau lai goek faan gan,顧3得7頭44腳8反2筋1,扶得東來西又倒,,
16028,細時偷針大時偷金,其他,sai si tau zam daai si tau gam,細3時4偷1針1大6時4偷1金1,小時偷大時偷牛,,
16029,有麝自然香,其他,jau se zi jin hoeng,有5麝6自6然4香1,"包子有餡兒, 不在摺兒上",,"歇後語：有麝自然香,唔使隨處抰/何必當風揚"
16030,你做初一我做十五,其他,nei zou co jat ngo zou sap ng`,你5做6初1一7我5做6十6五5,"以牙還牙,以血還血",,
16031,聰明一世蠢鈍一時,其他,cung ming jat sai ceon deon jat si,聰1明4一7世3蠢2鈍6一7時4,聰明一世糊塗一時,,
16032,黑狗得食白狗當災,其他,hak gau dak sik baak gau doeng zoi,黑7狗2得7食9白9狗2當1災1,白狗吃肉黑狗當災,,
16033,牛唔飲水唔得牛頭低,其他,ngau m` jam seoi m` gam dak ngau tau dai,牛4唔4飲2水2唔46得7牛4頭4低1,牛不喝水不能強摁頭,,"牛不想喝水就不可能把牛頭摁低下去,喻凡事不可勉強他人,或自己若不願意別人也勉強不了。"
16034,上屋搬下屋唔見一籮穀,其他,soeng uk bun haa uk m1 gin jat lo guk,上6屋7搬1下6屋7唔4見3一7籮4穀7,東搬西搬虧了一半,,"(俗)即使從樓上搬到樓下,損失至少也值一籮筐糧食。含意為""""搬家總是有損失的""""。"
16035,白灼,動詞,baak coek,白9灼8,涮,,
16036,快炒,動詞,faai caau,快3炒2,扒拉,,
16037,半截裙,服飾,bun zit gwan,半3截9裙4,裙子,,
16038,毛冷,服飾,mou laang,毛4冷5*1,毛,,"冷, 毛冷(法laine)"
16039,紅毛泥,工具、材料,hung mou nai,紅4毛4泥4,水泥,洋灰,
16040,茄瓜,植物、糧菜、果品,ke gwaa,茄2瓜1,茄子,,
16041,求先,副詞,kau sin,求4先1,先頭兒,剛才,
16042,依家,副詞,ji gaa,依1家1,現下,現在,
16043,摻埋你玩,動詞,cam maai nei waan,摻1埋4你5玩2,讓你一塊來玩,,
16044,無陰功咯,其他,mou jam gung lo,冇5陰1功1咯3,"(活)受罪呀(憐憫, 抱怨)",真造孽(責備),
16045,借過,動詞,ze gw,借3過3,借光,勞鴐,
16046,戥興,動詞,dang hing,戥6興3,湊熱鬧兒,湊熱鬧,"同""""贈興"""""
16047,,動詞,zaang,1,護,包庇,
16048,正斗,形容詞,zeng dau,正3斗2,正,純正,
16049,直情,介詞,zik cing,直9情4,直接,根本,
16050,咋,其他,gaa zaa,3咋3,只能...啊,,咋(勉強答應)
16051,咋,其他,gaa zaa,3咋4,才...啊,,咋(嫌少)
16052,,其他,aa haa,32,啊,,(提醒)
16053,咯可,其他,lo ho,咯3可2,是吧,,咯可(婉轉肯定)
16054,一,代詞,jat di,一71,(一)些,(一)點兒,
16055,兼夾,連詞,gim gaap,兼1夾8,又...又,還有,
16056,呢,其他,ne naa,呢74,這不是,,呢(提醒)
16057,大把,副詞,daai baa,大6把2,多的是,很多,
16058,夠勁,形容詞,gau ging,夠3勁6,極重,極高,(擔負的分量)極重 ；(程度)極高
16059,滴水,動詞,dik seoi,滴9*7水2,鬢角,男子的鬢腳,
16060,花王,稱謂,faa wong,花1王4,花匠,園丁,
16061,後尾,代詞,hau mei,後6尾1,後來,最後,"同""""褸尾"""""
16062,實情,副詞,sat cing,實9情4*2,實際上,真實的情況,實情(副詞)
16063,醒目,形容詞,sing muk,醒2目9,機靈,精明,"同""""醒"""""
16064,提水,動詞,tai seoi,提4水2,提詞,,
16065,冇本心,動詞,mou bun sam,冇5本2心1,沒良心,,
16066,真係冇陰功,其他,zan hai mou jam gung,真1係6冇5陰1功1,"(活)受罪呀(憐憫, 抱怨)",真造孽(責備),真係冇陰功(女性多用)
16067,...極都唔...,其他,... gik dou m` ...,...極9都1唔4...,...不了,,(形容詞)
16068,佬,稱謂,lou,佬2,丈夫(俗),,"用在名詞,形容詞,動賓詞組的後面,構成人的稱謂,顯示其某種特徵,職業或身份。"
16069,老竇,稱謂,lou dau,老5 竇(脰)6,父親,爸(爸),"「老竇」亦作""""老豆"" / """"老脰"""""
16070,伯爺,稱謂,baak je,伯8 爺4(4*1),父親,伯父,
16071,老母,稱謂,lou mou,老5 母2,母親,媽(媽),
16072,後底,稱謂,hau dai naa,後6 底2 4,繼母,後娘,
16073,阿爺,稱謂,aa je,阿3 爺4,爺爺,祖父,
16074,阿太,稱謂,aa taai,阿3 太3,曾祖母,,
16075,伯娘,稱謂,baak noeng,伯8 娘4,伯母,大媽,
16076,家公,稱謂,gaa gung,家1 公1,公公,,夫之父
16077,外母,稱謂,ngoi mou,外6 母2,岳母,丈母娘,丈母娘(引稱)
16078,大佬,稱謂,daai lou,大6 佬2,哥,哥哥,
16079,家姐,稱謂,gaa ze,家1 姐1,姐姐,姐,同胞或堂姐
16080,細妹,稱謂,sai mui,細3 妹6*2,妹妹,,
16081,老襟,稱謂,lou kam,老5 襟1,連襟,連襟兒,
16082,舅仔,稱謂,kau zai,舅5 仔2,小舅子,,
16083,姨仔,稱謂,ji zai,姨1 仔2,小姨子,小姨,最小的姨媽
16084,姑仔,稱謂,gu zai,姑1 仔2,小姑,小姑子,
16085,姨甥,稱謂,ji sang,姨4 甥1,外甥,姨侄,"(女子的)外甥 / (男子妻子的)外甥。姨甥(與姨媽, 姨丈對稱)"
16086,孖女,稱謂,maa neoi,孖1 女5*2,孿生姑娘,雙棒兒,
16087,孻仔,稱謂,laai zai,孻1 仔2,最小的兒子,,
16088,孻女,稱謂,laai neoi,孻1 女5*2,最小的女兒,,
16089,家爺仔,稱謂,gaa je zai naa,家1爺4 仔2 2,全家人,,
16090,兩仔,稱謂,loeng zai naa,兩5 仔2 2,母子倆,母女倆,
16091,兩仔爺,稱謂,loeng sai je,兩5 仔2 爺4,父子兩,,
16092,兩爺孫,稱謂,loeng je syun,兩5 爺4 孫1,爺孫兩,,
16093,老坑,稱謂,lou haang,老5 坑1,老頭子,老傢伙,
16094,老坑婆,稱謂,lou haang po,老5 坑1 婆 2,老太婆,,
16095,世伯,稱謂,sai baak,世3 伯8,伯伯,,對長輩人的尊稱
16096,世侄,稱謂,sai zat,世3 侄9,(沒有對應詞彙),,1.對晚輩的稱呼(有時用於以長輩身份教訓年輕人的埸合)。2.對晚一輩的年輕人的較客氣的稱呼。
16097,臊蝦仔,稱謂,sou haa zai,臊1 蝦1 仔2,嬰兒,小孩,
16098,細路,稱謂,sai lou,細3 路6,小孩,小孩兒,"同""""細路仔"""""
16099,伢伢仔,稱謂,ngaa ngaa zai,伢4 伢1 仔2,嬰兒,,
16100,啤啤(仔),稱謂,bi bi zai,啤 4 啤  1 仔2,嬰兒,嬰孩,啤啤仔(音譯英語baby)
16101,男仔,稱謂,naam zai,男4 仔5,男孩,男孩兒,
16102,後生仔,稱謂,hai saang zai,後6 生1 仔2,年輕人,小伙子,年輕人(男性)
16103,僆仔,稱謂,leng zai,僆1 仔2,年輕人,,僆仔(帶輕視)
16104,僆妹,稱謂,leng mui,僆1 妹6*1,女孩子,,僆妹(帶輕視)
16105,妹丁,稱謂,mui deng,妹6*1 丁1,女孩子,,妹丁(帶輕視)
16106,大姐仔,稱謂,daai ze zai,大6 姐2 仔2,小姑娘,,對年輕姑娘的尊稱
16107,死女包,稱謂,sei neoi baau,死2 女5*2 包1,死丫頭,,"1.對自家女孩的詈稱(俗)。2.同""""死妹釘"""""
16108,心肝椗,稱謂,sam gon ding,心1 肝1 椗3,心肝寶貝,,
16109,友仔,稱謂,jau zai,友5* 2 仔2,家伙,小子,
16110,寡佬,稱謂,gwaa lou,寡2 佬2,單身漢,光棍,
16111,咸濕公,稱謂,haam sap gung,咸4 濕7 公1,猥褻的男人,,好色的男人(俗)
16112,姣婆,稱謂,haau po,姣4 婆4,淫婦(俗),,
16113,八卦婆,稱謂,baat gwaa po,八8 卦3 婆2,愛說閒話的,,愛管閒事的女人(俗)
16114,八婆,稱謂,baat po,八8 婆4,三八,八卦婆,多管閒事的女人(俗)
16115,尖嘴雞,稱謂,zim zeoi gai,尖1 嘴2 雞1,(沒有對應詞彙),,嘴巴伶俐而尖刻的人
16116,雞仔媒人,稱謂,gai zai mui jan,雞1 仔2 媒4 人2,(沒有對應詞彙),,愛管閒事的人
16117,隔籬二叔婆,稱謂,gaak lei ji suk po,隔3 籬4 二6 叔1 婆2,鄰居,,市井氣很重的老婦人
16118,度叔,稱謂,dok suk,度9 叔7,吝嗇的人,,度叔(度: 反復拈算)
16119,孤寒財主,稱謂,gu hon coi zyu,孤1 寒4 財4主2,吝嗇的人,,
16120,竹織鴨,形容詞,zuk zik aap,竹1織1鴨8*2,沒心肝的,,"歇後語：""""竹織鴨,沒心肝的""""。用指沒心肝的人"
16121,攪屎棍,稱謂,gaau si gwan,攪2 屎2 棍3,搞事者,搞事的,挑逗是非的人
16122,生蟲拐杖,其他,sang cung gwaai zoeng,生1 蟲4 拐2 杖6*2,不可靠的,,"歇後語：""""生蟲杖,不可靠的""""。用指不可靠的人"
16123,三腳,家具、日常用品,saam goek dang,三1腳83,(沒有對應詞彙),,不可依靠的人/事物
16124,花心蘿蔔,稱謂,faa sam lo baak,花1 心1 蘿4 蔔9,花花公子,,1.感情不專一的男子。2.用情不專的人
16125,霸王雞,稱謂,baa wong gai naa,雞1 王4雞1 2,潑辣女人,,蠻橫的女人
16126,忤逆仔,稱謂,ng1 jik zai,忤5 逆9 仔2,不孝順的兒子,,不孝順的兒子
16127,衰仔,稱謂,seoi zai,衰1 仔2,壞孩子,兔崽子,"罵男孩子的話,語意可輕可重。"
16128,衰神,稱謂,seoi san,衰 1 神4,壞家伙,倒霉蛋,非惡意罵人的話。
16129,二世祖,稱謂,ji sai zou,二6 世3 祖2,敗家子,,只會花錢而不做事的
16130,死蛇爛鱔,形容詞,sei se laan sin,死2 蛇4 爛6 鱔5,懶人,,"1.喻懶得無可救藥的人。2.喻年老而精力衰退一到晚上就只想睡覺的丈夫(通常用於妻子罵丈夫時)；形容人明明理虧仍強詞奪理,或明知有錯仍不願改正。"
16131,蛇王,稱謂,se wong,蛇4王4,懶蟲,極懶的人,
16132,大食懶,稱謂,daai sik laan,大6 食9 懶5,好吃懶做的人,好吃懶做,
16133,蛀米大蟲,稱謂,zyu mai daai cung,蛀3 米5 大6 蟲4,好吃懶做的人,,只吃不做事的人
16134,爛賭二,稱謂,laan dou ji,爛6 賭2 二2,嗜賭的人,,
16135,契家佬,稱謂,kai gaa lou,契3家1 佬2,情夫(俗),姘頭,
16136,契家婆,稱謂,kai gaa po,拔3 家1 婆4,情婦(俗),姘頭,
16137,生骨大頭菜,稱謂,saan gwat daai tau coi,生1 骨7 大6 頭4 菜3,(沒有對應詞彙),,被寵壞的孩子
16138,嘩鬼,稱謂,waa gwai,嘩1 鬼2,調皮鬼,,"嘩鬼--吵吵嚷嚷的家伙(多指小孩)。亦作""""娃鬼"""""
16139,扭計星,稱謂,nau gai sing,扭2 計3*2 星1,愛撤嬌的孩子,,
16140,扭紋柴,稱謂,nau man caai,扭2 紋4 柴4,(沒有對應詞彙),,"1.胡攪蠻纏,動輒以哭鬧相要挾的小孩。2.乖戾的孩子"
16141,爛喊貓,稱謂,laan haam maau,爛6 喊3 貓1,愛哭的孩子,,
16142,鼻涕蟲,稱謂,bei tai cung,鼻6 涕6 蟲4,乳臭小子,,1.整天流鼻涕的孩子。2.鼻子整天掛著鼻涕的小孩
16143,賴尿蝦,稱謂,laai niu haa,賴6 尿6 蝦1,遺尿的孩子,,喻常尿床的小孩。
16144,污糟貓,稱謂,wu zou maau,污1 糟1 貓1,很髒的人,,
16145,牛王頭,稱謂,ngau wong tau,牛4王4頭,(沒有對應詞彙),,"1.蠻橫不馴的人。2.橫行霸道,肆無忌憚的人"
16146,大喊十,稱謂,daai haam sap,大6 喊3 十9,愛咋呼的人,經常哭叫,
16147,長氣袋,稱謂,coeng hei doi,長4 氣3 袋2,(沒有對應詞彙),,說話時間很長、很囉嗦、嘮叨不休的人
16148,大笑姑婆,稱謂,daai siu gu po,大6 笑3 姑1 婆4,愛笑的女子,,愛大聲笑的女人
16149,密實姑娘,稱謂,mat sat gu noeng,密7實9 姑1 娘4,(沒有對應詞彙),,不愛說話的女子
16150,大炮友,稱謂,daai paau jau,大6 炮3 友5*2,吹牛大王,,
16151,兩頭蛇,稱謂,loeng dau se,兩5 頭4 蛇4,騎牆的人,兩面耍滑頭的人,"兩面討好,又兩面搬弄是非,挑撥離間來從中圖利的人。"
16152,世界仔,稱謂,sai gaai zai,世3 界3 仔2,(沒有對應詞彙),,"1.精於世故的年輕人(男性)。2.指那些善於為人處世,機靈善變,在社會上很吃得開的年輕人。"
16153,精仔,稱謂,zeng zai,精1 仔2,精明的男子,,精明的年輕人(男性)
16154,醜人,稱謂,cau jan,醜2 人4*2,(沒有對應詞彙),,得罪人的人
16155,鹵水鴨,飲食,lou seoi aap,鹵5 水2 鴨8*2,鹵鴨,,"對老於世故的人的戲稱(俗)。廣州稱""""老成""""為""""老水"""", """"老""""與""""鹵""""同"
16156,老人精,稱謂,lou jan zing,老5 人4 精1,小人精,,1.言行舉止老成的孩子。2.過於老成的孩子
16157,老奀茄,稱謂,lou ngan ke,老5 奀1 茄2,(沒有對應詞彙),,"1.個子小而老成的孩子。 2.長不大的老茄子,喻個子比同齡者矮小但言談舉止卻很老成的孩子。"
16158,倒米壽星,稱謂,dou mai sau sing,倒2 米5 壽6 星2,捅類子的人,,
16159,烏龍王,稱謂,wu lung wong,烏1 龍4*2 王4,糊塗蟲,,非常糊塗的人
16160,大頭蝦,稱謂,daai tau haa,大6 頭4 蝦1,粗心的人,粗心,
16161,阿謬,稱謂,aa mau,阿3 謬6,愣愣的人,,"也作""""阿茂"""""
16162,福頭,稱謂,fuk tau,福7 頭4,(沒有對應詞彙),,常被人捉弄的人
16163,大鄉里,稱謂,daai hoeng lei,大6 鄉1 里2,土氣的人,土氣,
16164,失魂魚,稱謂,sat wan jyu,失1 魂4 魚4*2,行動慌張的人,辦事丟三拉四的人,"形容人驚慌,魯莽,像受驚的魚似的。"
16165,頂趾鞋,服飾,ding zi haai,頂1 趾1 鞋4,鞋子太小,,對丈夫管束嚴厲的女人
16166,觀音兵,稱謂,gun jam bing,觀1 音1 兵1,追求者,,樂為女性效勞的男人
16167,較飛,動詞,gaau fei,較3 飛1,遁走,,替人頂罪或受害的人
16168,一哥,稱謂,jat go,一7 哥1,最有權威的人,最有能耐的人,
16169,初哥,稱謂,co go,初1 哥1,初階者,新手,1.第一次幹某種事的人。2.(含貶義)新手
16170,冇尾飛陀,形容詞,mou mei fei to,冇5 尾5 飛1 陀4,做事不貫徹的,,"1.到處跑、 難尋跡的人。2.喻指整天東奔西走,蹤影難覓的人。"
16171,開荒牛,稱謂,hoi fong ngau,開1 荒1 牛4,開拓者,,
16172,砂煲兄弟,稱謂,saa bou hing dai,砂1 煲1 兄1 弟6,難兄難弟,把兄弟,"1.一起混日子的親密朋友。2.拉幫派,拜把子的人。因其常在一塊兒混,一塊兒生活,粵語稱之為""""同撈同煲"""",故稱。"
16173,拖友,稱謂,to jau,拖1 友5*2,戀人,,
16174,高佬,稱謂,gou lou,高1 佬2,高個子,,
16175,肥仔嘜,稱謂,fei zai mak,肥4 仔2 嘜7,小胖子,胖小子,
16176,肥妹,稱謂,fei mui,肥4 妹6*1,胖姑娘,,
16177,瘦骨仙,稱謂,sau gwat sin,瘦3 骨7 仙1,很瘦的人,,
16178,四眼佬,稱謂,sei ngaan lou,四2 眼5 佬2,戴眼鏡的人,,四眼佬(俗)
16179,西裝友,稱謂,sai zong jau,西1 裝1 友5*2,穿西裝的人,,
16180,猞猁眼,人體,se lei ngaan,猞6 猁1 眼5,斜視,斜視的人,
16181,豆皮,人體,dau pei,豆6 皮2,麻子,長麻子的人,
16182,女人形,稱謂,neoi jan jing,女5 人4*2 形4,女里女氣的人,,
16183,男人婆,稱謂,naam jan po,男4 人4 婆4,(沒有對應詞彙),,"1.像男人的女人。2.性格,打扮或行為男性化的女人。"
16184,左撓,稱謂,zo jan,左2 撓1,左撇子,,
16185,大肚婆,稱謂,daai tou po,大6 肚5 婆2,孕婦,,
16186,肥佬,稱謂,fei lou,肥4佬2,胖子,,
16187,啞仔,稱謂,aa zai,啞2 仔2,啞巴,,啞仔(年輕男性)
16188,單眼仔,稱謂,daan ngaan zai,單1 眼5 仔2,(沒有對應詞彙),,瞎了一只眼的人(年輕男性)
16189,盲公,稱謂,maang gung,盲4 公1,瞎子,,1.盲公(男性)。2.(男性的)瞎子
16190,病壞,稱謂,beng waai,病6 壞6*2,(不是粵方言詞),,多病而身體孱弱的人
16191,煙鏟,稱謂,jin caan,煙1 鏟2,煙鬼,,「煙鏟」指煙癮很大的人
16192,傻佬,稱謂,so lou,傻4 佬2,瘋子,愚蠢的人,
16193,番鬼佬,稱謂,faan gwai lou,番1 鬼2 佬2,外國佬,,番鬼佬(俗)
16194,鬼佬,稱謂,gwai lou,鬼2 佬2,外國佬,外國人,鬼佬(俗)
16195,鬼妹,稱謂,gwai mui,鬼2 妹6*1,外國姑娘,外國女孩,鬼妹(含貶義)(俗)
16196,黑鬼,稱謂,haak gwai,黑7 鬼2,黑人,,黑鬼(歧視的說法)(俗)
16197,蘿蔔頭,稱謂,lo baak tau,蘿4 蔔9 頭4,日本人,,對日本人的蔑稱
16198,唐人,稱謂,dong jan,唐4 人4,中國人,華人,海外華僑或華裔
16199,金山客,稱謂,gam saan haak,金1 山1 客8,美國華僑,,從北美回鄉的華僑
16200,南洋客,稱謂,naam joeng haak,南4 洋2 客8,南洋華僑,,從南洋回鄉的華僑
16201,蜑家,稱謂,daan gaa,蜑6 家1,水上居民,,
16202,撈鬆,稱謂,laau sung,撈4 鬆1,外江人,,"注: """"撈鬆""""本為北方人話""""老兄""""的摹音, 轉而為對北方人的蔑稱"
16203,老行尊,稱謂,lou hoeng zyun,老5 行4 尊1,老行家,,"亦作""""老行專"""",多年從事某一行的專家,老手。"
16204,咕哩,稱謂,gu lei,咕1 哩1,賣勞力的工人,苦力,"1.咕哩--對搬運工人的蔑稱(俗)(英語coolie)。2.咕喱(外來詞。音譯英語詞""""coolie"""")"
16205,候鑊,稱謂,hau wok,候6 鑊9*2,廚師,大師傅,
16206,伙頭軍,稱謂,fo tau gwan,伙2 頭4(4*2) 軍1,炊事員,,
16207,水客,稱謂,seoi haak,水2 客8,販運貨物者,,靠水路運輸販貨物的人。
16208,球証,稱謂,kau zing,球4 証3,球賽裁判,裁判員,球賽的裁判員
16209,過氣老倌,稱謂,gwo hei lou gun,過3 氣3 老5 倌1,(沒有對應詞彙),,"曾有名的戲曲演員,引申為過事的人物"
16210,大粒,稱謂,daai nap mak,大6 粒7 9*2,高官,,
16211,企堂,稱謂,kei tong,企5 堂2,跑堂,侍應生,
16212,泥水佬,稱謂,nai seoi lou,泥4 水2 佬2,泥水匠,,
16213,三行佬,稱謂,saam hong lou,三1 行4*2 佬2,建築工人,,"注: 舊以泥水, 搭棚即搭腳手架或油漆, 粗木為建築三行"
16214,風水佬,稱謂,fung seoi lou,風1 水2 佬2,風水先生,,
16215,妹仔,稱謂,mui zai,妹6*1 仔2,婢女,,
16216,仔婆,稱謂,cau zai po,3 仔2 婆2,老褓母,,
16217,打工仔,稱謂,daa gung zai,打2 工1 仔2,僱工,做工的,
16218,事頭,稱謂,si tau,事6 頭4*2,主人,老板,"僱員對僱,主下級對上級的稱呼。"
16219,事頭婆,稱謂,si tau po,事6 頭4 婆4,女主人,老板娘,
16220,屋主,稱謂,uk zyu,屋1 主2,房東,業主,
16221,客仔,稱謂,haak zai,客8 仔2,客戶,顧客,
16222,大葵扇,稱謂,daai gwai sin,大2 葵 4 扇3,媒人,媒婆,
16223,乞兒,稱謂,hat ji,乞7 兒4*1,乞丐,要飯的,
16224,師姑,稱謂,si gu,師1 姑1,尼姑,,
16225,拐子佬,稱謂,gwaai zi lou,2 子2 佬2,拐賣人口者,拐子,拐子佬--拐賣人口者(專指男性)
16226,監躉,稱謂,gaam dan,監1 犯2,囚犯,囚徒,
16227,雞,稱謂,gai,雞1,暗娼,妓女,
16228,熱頭,天象、地理,jit tau,熱9 頭2,太陽,,"同""""日頭""""。"
16229,蛾眉月,天象、地理,ngo mei jyut,蛾4 眉4 月2,月芽兒,,
16230,山坑,天象、地理,saan haang,山1 坑1,山溝,,
16231,轉,人體,zyun,轉6,(沒有對應詞彙),,毛髮的旋兒
16232,天口,天象、地理,tin hau,天1 口2,天氣,氣溫,
16233,雨溦,天象、地理,jyu mei,雨5 溦1,毛毛雨,,
16234,溦溦雨,天象、地理,mei mei jyu,溦1溦1 雨5,毛毛雨,,
16235,雨粉,天象、地理,jyu fan,雨5 粉2,毛毛雨,,
16236,白撞雨,天象、地理,baak zong jyu,白9 撞6 雨5,太陽雨,,
16237,霧水,天象、地理,mou seoi,霧6 水2,露水,,
16238,霞氣,天象、地理,haa hei,霞4 氣3,霧氣,,(黏附於玻璃等上的)霧氣
16239,西斜熱,天象、地理,sei ce jit,西1 斜4 熱9,(沒有對應詞彙),,太陽下山前的輻射熱(一般對朝西的屋而言)
16240,火屎,礦物、自然物,fo si,火2 屎2,火屑,,沒燒透的小顆炭粒
16241,雲石,礦物、自然物,wan sek,雲4 石9,大理石,,"因粵產大理石以雲浮縣產的最為知名,故稱。"
16242,禾稈草,植物、糧菜、果品,wo gon cou,禾4 稈2 草2,稻草,,
16243,粘米,植物、糧菜、果品,zim mai,粘1 米5,粳米,米,非黏性米(與糯米相對)
16244,黃芽白,植物、糧菜、果品,wong ngaa baak,黃4 芽4 白9,結球白菜,,
16245,紹菜,植物、糧菜、果品,siu coi,紹6 菜3,結球白菜,,"同""""黃牙白"""""
16246,椰菜,植物、糧菜、果品,je coi,椰4 菜3,包菜,結球白菜,
16247,椰菜花,植物、糧菜、果品,je coi faa,椰4 菜3 花1,花椰菜,菜花,
16248,西洋菜,植物、糧菜、果品,sai joeng coi,西1 洋4 菜3,水蔊菜,豆瓣菜,"一種廣東常見的蔬菜。因原產歐洲,故稱。"
16249,豬菜,植物、糧菜、果品,zyu naa coi,豬1 2 菜3,莙薘菜,,
16250,芥蘭頭,植物、糧菜、果品,gaai laan tau,芥3 蘭2 頭4,苤藍,,
16251,芫荽蔥,植物、糧菜、果品,jim sai cung,鹽4 茜1 蔥1,芫茜荽,香菜,
16252,指天椒,植物、糧菜、果品,zi tin ziu,指2 天1 椒1,朝天椒,,一種尖底朝天的小辣椒
16253,青瓜,植物、糧菜、果品,ceng gwaa,青1 瓜1,黃瓜,,
16254,水瓜,植物、糧菜、果品,seoi gwaa,水2 瓜1,無棱絲瓜,絲瓜,
16255,勝瓜,植物、糧菜、果品,sing gwaa,勝3 瓜1,棱角絲瓜,絲瓜,"粵語""""絲""""的讀音近於""""輸"""",為避違而改以""""輸""""的反義詞""""勝""""來代替。"
16256,荷蘭豆,植物、糧菜、果品,ho laan dau,荷4 蘭4*1 豆2,菜豌豆,,"一種豆類植物,豆莢可作蔬菜"
16257,四季豆,植物、糧菜、果品,sei gwai dau,四3 季3 豆6*2,菜豆,,
16258,茭,植物、糧菜、果品,gaau seon,茭1 2,茭白,,
16259,霸王花,稱謂,baa wong faa,霸3 王4 花1,潑辣女人,,"令箭荷花之一種, 一般指其乾制品, 作湯料)"
16260,子薑,植物、糧菜、果品,zi goeng,子2 薑1,嫩薑,,
16261,菩提子,植物、糧菜、果品,pou tai zi,菩4 提4 子2,葡萄,,
16262,大蕉,植物、糧菜、果品,daai ziu,大6 蕉1,芭蕉,,
16263,怕醜草,植物、糧菜、果品,paa cau cou,怕3 醜2 草2,含羞草,,
16264,酸枝,家具、日常用品,syun zi,酸1 枝1,紅木,,"1.紅木的一種, 可作傢具。2.一種堅硬的木頭,紫紅色。是製作家具的一種名貴材料。"
16265,椰衣,植物、糧菜、果品,je ji,椰4 衣1,(沒有對應詞彙),,椰子果實外的纖維層
16266,銀,植物、糧菜、果品,ngan,銀4,籽,果仁兒,
16267,,植物、糧菜、果品,lam,1,花蕾,,"同""""花"""""
16268,象拔,動物,zoeng bat,象6 拔9,大象鼻子,,
16269,水魚,動物,seoi jyu,水2 魚4*2,甲魚,鱉,"(諧)指容易上鉤受騙的有錢人。""""水""""指有錢(粵語""""水""""可指錢,""""魚""""則易上鉤,故稱。"
16270,雞泡魚,動物,gai pou jyu,雞1 泡5 魚2,河豚,,
16271,塘魚,動物,dong jyu,塘4 魚2,池塘養的魚,,
16272,鹹水魚,動物,haam seoi jyu,鹹4 水2 魚2,海魚,,
16273,鹽蛇,動物,jim se,鹽4 蛇4*2,壁虎,蝎(了)虎子,"「鹽蛇」亦作""""檐蛇"""""
16274,金腳帶,動物,gam goek daai,金1 腳8 帶3,金環蛇,,
16275,銀腳帶,動物,ngan goek daai,銀4 腳8 帶3,銀環蛇,,"一種毒性猛烈的毒蛇,背面顏色呈黑白相間的環狀。"
16276,薳,植物、糧菜、果品,jyun,軟5,嫩莖,,1.菜或草的嫩莖。2.植物的嫩莖
16277,飯鏟頭,動物,faan caan tau,飯6 鏟2 頭4,眼睛蛇,,"一種毒蛇, 頭鏟形"
16278,黃犬,動物,wong hyun,黃4 犬2,蚯蚓,蛐親,"「黃犬」亦作""""黃"""""
16279,蜞,動物,kei naa,蜞4 2,螞蟥,,
16280,蟧,動物,kam lou,4 蟧2,大蜘蛛,,
16281,紅蟲,動物,hung cung,紅4 蟲4*2,水蝨,孑孓,
16282,沙蟲,動物,saa cung,沙1 蟲4*2,疥,孑孓,蚊子的幼蟲
16283,禾蟲,動物,wo cung,禾4 蟲4*2,輪沙蟲,,"紅色,體扁長,可食用。因常生活於水稻田中,故稱。"
16284,虱,動物,sat naa,虱7 2,虱子,,
16285,木虱,動物,muk sat,木9虱7,臭蟲,,
16286,螗蝞,動物,tong mei,螗4 蝞1,蜻蜓,螞螂,"「螗蝞」亦作""""塘"""""
16287,青竹蛇,動物,ceng zuk se,青1 竹7 蛇4,竹葉青蛇,,"一種毒蛇。全身綠色,看似竹葉,又常棲息於竹樹上,故稱。"
16288,黃絲蟻,動物,wong si ngai,黃4 絲1 蟻5,(沒有對應詞彙),,1.黃赤色的螞蟻。2.一種黃色的小螞蟻
16289,蠶蟲,動物,caam cung,蠶4 蟲4*2,蠶,,
16290,水,動物,seoi gaat zaat,水2 9 9*2,水蟑螂,,一種水生昆蟲
16291,蟲蟲蟻蟻,動物,cung cung ngai ngai,蟲4 蟲4 蟻5 蟻5,(泛指)小蟲,,
16292,禾花雀,動物,wo faa zoek,禾4 花1 雀8*2,黃胸,,"一種類似麻雀的小鳥,學名叫黃胸。這種鳥秋涼時成群南下,以稻穀為食。粵人常捕捉之以為菜餚,肉鮮美。"
16293,白鴿,動物,baak gaap,白9 鴿8*2,鴿子,,"現代漢語詞中""""鴿子""""(不一定是白色)"
16294,雞公,動物,gai gung,雞1 公1,公雞,,
